ID,title,industry,company_name,job_url,company_website
1,Hiring For a Bench Sales Recruiter,Staffing and Recruiting,Compunnel,https://www.naukri.com/job-listings-hiring-for-a-bench-sales-recruiter-compunnel-pune-2-to-6-years-290725021506,N/A
2,Bench sales recruiters,Staffing and Recruiting,Cblsol,https://www.naukri.com/job-listings-bench-sales-cblsol-hyderabad-1-to-5-years-271225012948,N/A
3,Fresher - Bench Sales Recruiter,Staffing and Recruiting,Circle IT Solutions,https://www.naukri.com/job-listings-fresher-bench-sales-recruiter-circle-it-solutions-hyderabad-secunderabad-0-to-1-years-050523010216,N/A
4,Bench Sales Recruiter - Hyderabad,Staffing and Recruiting,Baanyan Softtech Services,https://www.naukri.com/job-listings-bench-sales-recruiter-hyderabad-baanyan-softtech-services-hyderabad-1-to-4-years-070126044409,N/A
5,Bench Sales Recruiters - Immediate Hirings,Staffing and Recruiting,Circle IT Solutions,https://www.naukri.com/job-listings-bench-sales-immediate-hirings-circle-it-solutions-hyderabad-secunderabad-1-to-3-years-160622000096,N/A
6,Bench Sales Recruiter,Staffing and Recruiting,Fronix Solutions,https://www.naukri.com/job-listings-bench-sales-recruiter-fronix-solutions-hyderabad-3-to-5-years-080126031298,N/A
7,Bench Sales Recruiter,Staffing and Recruiting,ICP Solutions,https://www.naukri.com/job-listings-bench-sales-recruiter-icp-solutions-hyderabad-2-to-4-years-060126021653,N/A
8,Bench Sales Recruiter,Staffing and Recruiting,ITSyntax Inc,https://www.naukri.com/job-listings-bench-sales-recruiter-itsyntax-hyderabad-0-to-2-years-060126034925,N/A
9,Bench Sales Recruiter,Staffing and Recruiting,RM Global Consulting,https://www.naukri.com/job-listings-bench-sales-recruiter-rm-global-consulting-hyderabad-uppal-3-to-6-years-090124000192,N/A
10,Bench Sales Recruiter,Staffing and Recruiting,Platinus Technology,https://www.naukri.com/job-listings-bench-sales-recruiter-platinus-technologies-hyderabad-2-to-5-years-030425016916,N/A
